Station,DateTime,Ohms0,Ohms1,Ohms2,Ohms3,OhmsRef,Vbat,Temp
19Jan19_Tst2,02/03/19 06:11, 1188284, 116, 677, 1184, 471, 5.81, 15.94
19Jan19_Tst2,02/03/19 06:13, 1303192, 116, 677, 1184, 471, 5.82, 15.94
19Jan19_Tst2,02/03/19 06:15, 1158386, 116, 677, 1184, 471, 5.82, 15.94
19Jan19_Tst2,02/03/19 06:18, 1198845, 116, 677, 1184, 471, 5.83, 15.94
19Jan19_Tst2,02/03/19 06:28, 1276002, 116, 677, 1184, 471, 5.81, 15.94
19Jan19_Tst2,02/03/19 06:32, 1268891, 116, 677, 1184, 471, 5.83, 15.94
19Jan19_Tst2,02/03/19 06:35, 1256761, 116, 677, 1184, 471, 5.84, 15.94
19Jan19_Tst2,02/03/19 06:38, 1207332, 116, 677, 1184, 471, 5.85, 15.94
19Jan19_Tst2,02/03/19 06:40, 1303192, 116, 677, 1184, 471, 5.82, 15.94
19Jan19_Tst2,02/03/19 06:42, 1377667, 116, 677, 1184, 471, 5.84, 15.94
19Jan19_Tst2,02/03/19 06:44, 1224286, 116, 677, 1184, 471, 5.81, 15.94
19Jan19_Tst2,02/03/19 06:47, 1307889, 116, 677, 1184, 471, 5.82, 16.00
